Table,Breakdown,Secondary_Breakdown,Year,Value,Unit
01 Total R&D Expenditure,01_R&D Expenditure,1) Business,2012,1193,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,1) Business,2014,1246,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,1) Business,2016,1602,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,1) Business,2018,2150,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,1) Business,2019,2407,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,2) Government,2012,596,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,2) Government,2014,622,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,2) Government,2016,658,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,2) Government,2018,784,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,2) Government,2019,.,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,3) Higher Education,2012,836,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,3) Higher Education,2014,817,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,3) Higher Education,2016,877,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,3) Higher Education,2018,960,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,3) Higher Education,2019,.,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,4) Total all sectors,2012,2625,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,4) Total all sectors,2014,2685,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,4) Total all sectors,2016,3136,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,4) Total all sectors,2018,3894,$(million)
01 Total R&D Expenditure,01_R&D Expenditure,4) Total all sectors,2019,...,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,1) Business,2012,0.56,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,1) Business,2014,0.54,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,1) Business,2016,0.63,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,1) Business,2018,0.74,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,1) Business,2019,0.8,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,2) Government,2012,0.28,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,2) Government,2014,0.27,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,2) Government,2016,0.26,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,2) Government,2018,0.27,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,2) Government,2019,.,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,3) Higher Education,2012,0.39,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,3) Higher Education,2014,0.35,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,3) Higher Education,2016,0.34,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,3) Higher Education,2018,0.33,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,3) Higher Education,2019,.,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,4) Total all sectors,2012,1.23,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,4) Total all sectors,2014,1.15,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,4) Total all sectors,2016,1.23,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,4) Total all sectors,2018,1.35,$(million)
01 Total R&D Expenditure,02_R&D Exp as a proportion of GDP,4) Total all sectors,2019,.,$(million)
02 Total R&D Expenditure by published industry,01_Primary,None,2012,125,$(million)
02 Total R&D Expenditure by published industry,01_Primary,None,2014,92,$(million)
02 Total R&D Expenditure by published industry,01_Primary,None,2016,96,$(million)
