Book,Author,Available,Price
Numerical Methods  ,Product in stock,"TK. 1,098"
" Hydraulics, Fluid Mechanics And Hydraulic Mechanics",Product in stock,"TK. 1,258"
Plumbing: Design and Practice ,Product in stock,"TK. 3,958"
Schaum Outline Computer Graphics,Product in stock,"TK. 1,278"
Java SE 8 for the Really Impatient,Product in stock,TK. 700
Building and Construction Materials: Testing and Quality Control (Lab Manual Series),Product in stock,"TK. 1,240"
Physical and Engineering Geology,Product in stock,TK. 900
Building Construction ,Product in stock,TK. 540
"Applied Cryptography Protocols, Algorithms, and Source Code in C (Second Edition)",Product in stock,"TK. 1,420"
"Core Java, Volume I : Fundamentals ",Product in stock,"TK. 1,492"
Machine Drawing with Auto CAD ,Product in stock,"TK. 1,040"
An Introduction to mechanics,Product in stock,"TK. 1,251"
"Projects, 7th Edition",Product in stock,"TK. 1,170"
Corrosion Engineering ,Product in stock,"TK. 1,638"
Design of Prestressed Concrete Structures  ,Product in stock,"TK. 1,060"
Competitive Programming,Product in stock,"TK. 7,176"
Computer Architecture and Parallel Processing,Product in stock,"TK. 1,239"
Fluid Mechanics and its Applications,Product in stock,TK. 630
Numerical Methods: For Scientific and Engineering Computation,Product in stock,"TK. 1,078"
Shreve'S Chemical Process Industries  ,Product in stock,"TK. 2,074"
Engineering Mathematics,Product in stock,"TK. 1,665"
Introduction to Artificial Intelligence ,Product in stock,"TK. 1,618"
Callister's Materials Science and Engineering,Product in stock,"TK. 1,440"
Data Mining Methods and Models,Product in stock,TK. 917
Telecommunication Switching Systems and Networks,Product in stock,TK. 711
"Telecommunications, Switching, Traffic And Networks ",Product in stock,"TK. 1,420"
Mechanical Measurements ,Product in stock,"TK. 1,323"
Digital Design ,Product in stock,"TK. 1,170"
Oracle Database 12C SQL,Product in stock,"TK. 8,100"
Millman's Electronic Devices and Circuits (SIE),Product in stock,"TK. 1,251"
Advanced Electronic Communications Systems ,Product in stock,TK. 685
"Cert Guide Learn, Prepare and Practice for Exam Success - CEH ",Product in stock,"TK. 1,636"
Instrumentation and Control Systems,Product in stock,TK. 630
Analysis and Design: Practice of Hydraulic Concrete Structures,Product in stock,TK. 351
Basic Principles and Calculations in Chemical Engineering,Product in stock,"TK. 1,548"
Elements of Photogrammetry,Product in stock,"TK. 1,791"
Fluid Mechanics ,Product in stock,"TK. 1,530"
Principles of Medical Electronics and Biomedical instrumentation,Product in stock,TK. 765
Higher Surveying,Product in stock,TK. 376
Accounting Information Systems: Essential Concepts and Applications,Product in stock,"TK. 12,000"
Los Angeles – The Architecture of Four Ecologies,Product in stock,"TK. 3,274"
Understanding Architecture,Product in stock,"TK. 8,991"
Design of Water Resources Systems,Product in stock,"TK. 7,443"
Professional Records And Information Management Student Edition with CD-ROM,Product in stock,"TK. 9,846"
Principles of Environmental Science : Inquiry and Applications,Product in stock,"TK. 1,755"
An Introduction to Statistical Learning: with Applications in R ,Product in stock,"TK. 5,680"
"Straight and Level: Practical Airline Economics, 3rd Edition",Product in stock,"TK. 6,024"
Digital Design ,Product in stock,"TK. 1,258"
Chemical Reaction Engineering ,Product in stock,"TK. 1,294"
Express Learning - Computer Fundamentals And Programming ,Product in stock,TK. 665
Optical Fiber Communications : Principles And Practice ,Product in stock,"TK. 1,323"
Principles Of Distributed Database Systems ,Product in stock,"TK. 1,305"
High Voltage Engineering,Product in stock,TK. 538
"Numerical Methods For Scientists And Engineers, 2nd Edition",Product in stock,"TK. 2,989"
Steam and Diesel Power Plant Operators Examinations,Product in stock,"TK. 4,595"
Electrical Engineering Materials ,Product in stock,TK. 720
Mechanics of Materials ,Product in stock,"TK. 1,350"
Wireless Communications ,Product in stock,"TK. 1,312"
Design of Reinforced Concrete Shells and Folded Plates,Product in stock,TK. 765
Networking A Beginners Guide,Product in stock,"TK. 1,179"
